method,n_plus,s=|S|/|E|,omic_support,omic_support_std,auomic,auomic_std,auomic_restricted,auomic_restricted_std,tau_restricted
GOOD,125,0.6510416666666666,1.0,0.0,0.9991607616518913,8.372445072343023e-05,0.9984746325982314,0.00013015915214399087,0.9636129032258063
RANDOM,125,0.6510416666666666,0.5026865671641791,0.015399745117996749,0.48865364757346763,0.05498117921231481,0.48396137188980665,0.05939789132055597,-0.029099135261255675
BAD,125,0.6510416666666666,1.0,0.0,0.4791357435706626,4.001386782716696e-05,0.0011171779694324913,6.546154318719648e-05,-0.9636129032258063
ANTI,125,0.6510416666666666,0.0007402985074626866,0.00037302685019255664,0.5059717038018754,0.0008953052816115574,0.9575716828180848,0.00028334056372438036,0.9834627189023291
